∂,,,,Study Data,,,,,,Central SCC Value,,,,,,,,,,,,,,,,Structural Changes,,,,,,,,,,,,,SCC Distribution,,,,,,,,,,,Parametric Uncertainty: 1 or 0,,,,,,,,,,,,,
,,,,,,,,,,,,,,REPORT EITHER CONSTANT DISCOUNT RATE OR PRTP AND EMUC,,,Damage Function Info - Enter 1 or 0,,,,,CLIMATE,CLIMATE,CLIMATE,DAMAGES,DAMAGES,UTILITY,UTILITY,UTILITY,UTILITY,OTHER,OTHER,OTHER,,,,,,,,,,,,,,,SOCIO-ECONOMICS,SOCIO-ECONOMICS,SOCIO-ECONOMICS,,,CLIMATE,CLIMATE or DAMAGES,DAMAGES,DAMAGES,DAMAGES,UTILITY,UTILITY,UTILITY,,,
2321,lontzek2015stochastic,Simon,"Lontzek, T.S., Cai, Y., Judd, K.L., Lenton, T.M.",2015,"Lontzek, Thomas S., et al. ""Stochastic integrated assessment of climate tipping points indicates the need for strict climate policy."" Nature Climate Change 5.5 (2015): 441-444.",DSICE,DICE-2007,,2005,10,2005,Optimal,,,1.5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,text,,
2321,lontzek2015stochastic,Simon,"Lontzek, T.S., Cai, Y., Judd, K.L., Lenton, T.M.",2015,"Lontzek, Thomas S., et al. ""Stochastic integrated assessment of climate tipping points indicates the need for strict climate policy."" Nature Climate Change 5.5 (2015): 441-444.",DSICE,DICE-2007,,2005,15,2005,Optimal,,,1.5,2,,,,,,,,,1,,,,,,,,,15,,,,,,,,,,,,,39,,,,,,,1,,,,,,,text,,
2321,lontzek2015stochastic,Simon,"Lontzek, T.S., Cai, Y., Judd, K.L., Lenton, T.M.",2015,"Lontzek, Thomas S., et al. ""Stochastic integrated assessment of climate tipping points indicates the need for strict climate policy."" Nature Climate Change 5.5 (2015): 441-444.",DSICE,DICE-2007,,2020,13,2005,Optimal,,,1.5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Figure 2,,
2321,lontzek2015stochastic,Simon,"Lontzek, T.S., Cai, Y., Judd, K.L., Lenton, T.M.",2015,"Lontzek, Thomas S., et al. ""Stochastic integrated assessment of climate tipping points indicates the need for strict climate policy."" Nature Climate Change 5.5 (2015): 441-444.",DSICE,DICE-2007,,2020,19,2005,Optimal,,,1.5,2,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,Figure 2,,
2321,lontzek2015stochastic,Simon,"Lontzek, T.S., Cai, Y., Judd, K.L., Lenton, T.M.",2015,"Lontzek, Thomas S., et al. ""Stochastic integrated assessment of climate tipping points indicates the need for strict climate policy."" Nature Climate Change 5.5 (2015): 441-444.",DSICE,DICE-2007,,2050,22,2005,Optimal,,,1.5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Figure 2,,
2321,lontzek2015stochastic,Simon,"Lontzek, T.S., Cai, Y., Judd, K.L., Lenton, T.M.",2015,"Lontzek, Thomas S., et al. ""Stochastic integrated assessment of climate tipping points indicates the need for strict climate policy."" Nature Climate Change 5.5 (2015): 441-444.",DSICE,DICE-2007,,2050,31,2005,Optimal,,,1.5,2,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,Figure 2,,
2321,lontzek2015stochastic,Simon,"Lontzek, T.S., Cai, Y., Judd, K.L., Lenton, T.M.",2015,"Lontzek, Thomas S., et al. ""Stochastic integrated assessment of climate tipping points indicates the need for strict climate policy."" Nature Climate Change 5.5 (2015): 441-444.",DSICE,DICE-2007,,2100,47,2005,Optimal,,,1.5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Figure 2,,
2321,lontzek2015stochastic,Simon,"Lontzek, T.S., Cai, Y., Judd, K.L., Lenton, T.M.",2015,"Lontzek, Thomas S., et al. ""Stochastic integrated assessment of climate tipping points indicates the need for strict climate policy."" Nature Climate Change 5.5 (2015): 441-444.",DSICE,DICE-2007,,2100,58,2005,Optimal,,,1.5,2,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,Figure 2,,
1998,gonzalez2016significant,Simon,"González-Eguino, M., Neumann, M.B.",2016,"González-Eguino, Mikel, and Marc B. Neumann. ""Significant implications of permafrost thawing for climate change control."" Climatic Change 136.2 (2016): 381-388.",DICE-2013R,,,2015,36,2005,Optimal (subject to a 2.6Wm^2 forcing constraint in 2100),,,1.5,1.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Section 3,,
1998,gonzalez2016significant,Simon,"González-Eguino, M., Neumann, M.B.",2016,"González-Eguino, Mikel, and Marc B. Neumann. ""Significant implications of permafrost thawing for climate change control."" Climatic Change 136.2 (2016): 381-388.",DICE-2013R,,,2015,41,2005,Optimal (subject to a 2.6Wm^2 forcing constraint in 2100),,,1.5,1.45,,,,,,,,1,,,,,,,,,,,,,,38,,,,46,,,,,,,,,,,,1,,,,,,,Section 3,,
1998,gonzalez2016significant,Simon,"González-Eguino, M., Neumann, M.B.",2016,"González-Eguino, Mikel, and Marc B. Neumann. ""Significant implications of permafrost thawing for climate change control."" Climatic Change 136.2 (2016): 381-388.",DICE-2013R,,,2020,45,2005,Optimal (subject to a 2.6Wm^2 forcing constraint in 2100),,,1.5,1.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Figure 3a,,
1998,gonzalez2016significant,Simon,"González-Eguino, M., Neumann, M.B.",2016,"González-Eguino, Mikel, and Marc B. Neumann. ""Significant implications of permafrost thawing for climate change control."" Climatic Change 136.2 (2016): 381-388.",DICE-2013R,,,2020,53,2005,Optimal (subject to a 2.6Wm^2 forcing constraint in 2100),,,1.5,1.45,,,,,,,,1,,,,,,,,,,,,,,49,,,,60,,,,,,,,,,,,1,,,,,,,Figure 3a,,
1998,gonzalez2016significant,Simon,"González-Eguino, M., Neumann, M.B.",2016,"González-Eguino, Mikel, and Marc B. Neumann. ""Significant implications of permafrost thawing for climate change control."" Climatic Change 136.2 (2016): 381-388.",DICE-2013R,,,2050,180,2005,Optimal (subject to a 2.6Wm^2 forcing constraint in 2100),,,1.5,1.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Figure 3a,,
1998,gonzalez2016significant,Simon,"González-Eguino, M., Neumann, M.B.",2016,"González-Eguino, Mikel, and Marc B. Neumann. ""Significant implications of permafrost thawing for climate change control."" Climatic Change 136.2 (2016): 381-388.",DICE-2013R,,,2050,210,2005,Optimal (subject to a 2.6Wm^2 forcing constraint in 2100),,,1.5,1.45,,,,,,,,1,,,,,,,,,,,,,,200,,,,240,,,,,,,,,,,,1,,,,,,,Figure 3a,,
1998,gonzalez2016significant,Simon,"González-Eguino, M., Neumann, M.B.",2016,"González-Eguino, Mikel, and Marc B. Neumann. ""Significant implications of permafrost thawing for climate change control."" Climatic Change 136.2 (2016): 381-388.",DICE-2013R,,,2100,219,2005,Optimal (subject to a 2.6Wm^2 forcing constraint in 2100),,,1.5,1.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Figure 3a,,
1998,gonzalez2016significant,Simon,"González-Eguino, M., Neumann, M.B.",2016,"González-Eguino, Mikel, and Marc B. Neumann. ""Significant implications of permafrost thawing for climate change control."" Climatic Change 136.2 (2016): 381-388.",DICE-2013R,,,2100,219,2005,Optimal (subject to a 2.6Wm^2 forcing constraint in 2100),,,1.5,1.45,,,,,,,,1,,,,,,,,,,,,,,219,,,,219,,,,,,,,,,,,1,,,,,,,Figure 3a,,
2201,pottier2016comparative,Simon,"Pottier, A., Espagne, E., Perrissin Fabert, B., Dumas, P.",2015,"Pottier, Antonin, et al. ""The comparative impact of integrated assessment models’ structures on optimal mitigation policies."" Environmental Modeling & Assessment 20.5 (2015): 453-473.",RESPONSE,DICE,,2020,14,2005,Optimal,,,0.1%-3%,1,,,,,,,,,,,,,,,,,,,,,5,,8,,26,,49,,,,,1,,,,,,,,,,,,,Table 6,,Abatement costs also uncertain
2201,pottier2016comparative,Simon,"Pottier, A., Espagne, E., Perrissin Fabert, B., Dumas, P.",2015,"Pottier, Antonin, et al. ""The comparative impact of integrated assessment models’ structures on optimal mitigation policies."" Environmental Modeling & Assessment 20.5 (2015): 453-473.",RESPONSE,DICE,,2020,6,2005,Optimal,,,0.1%-3%,1,1,,,,,,,,,,,,,,,,,,,,1,,2,,15,,30,,,,,1,,,,,,,,,,,,,Table 6,,Abatement costs also uncertain
2201,pottier2016comparative,Simon,"Pottier, A., Espagne, E., Perrissin Fabert, B., Dumas, P.",2015,"Pottier, Antonin, et al. ""The comparative impact of integrated assessment models’ structures on optimal mitigation policies."" Environmental Modeling & Assessment 20.5 (2015): 453-473.",RESPONSE,DICE,,2020,13,2005,Optimal,,,0.1%-3%,1,,,,,,,,,,,,,,,,,,,,,4,,7,,26,,52,,,,,1,,,,,1,,,,,,,,Table 6,,Abatement costs also uncertain
2201,pottier2016comparative,Simon,"Pottier, A., Espagne, E., Perrissin Fabert, B., Dumas, P.",2015,"Pottier, Antonin, et al. ""The comparative impact of integrated assessment models’ structures on optimal mitigation policies."" Environmental Modeling & Assessment 20.5 (2015): 453-473.",RESPONSE,DICE,,2020,9,2005,Optimal,,,0.1%-3%,1,1,,,,,,,,,,,,,,,,,,,,2,,4,,20,,43,,,,,1,,,,,,,1,,,,,,Table 6,,Abatement costs also uncertain
2201,pottier2016comparative,Simon,"Pottier, A., Espagne, E., Perrissin Fabert, B., Dumas, P.",2015,"Pottier, Antonin, et al. ""The comparative impact of integrated assessment models’ structures on optimal mitigation policies."" Environmental Modeling & Assessment 20.5 (2015): 453-473.",RESPONSE,DICE,,2050,23,2005,Optimal,,,0.1%-3%,1,,,,,,,,,,,,,,,,,,,,,8,,12,,45,,81,,,,,1,,,,,,,,,,,,,Table 6,,Abatement costs also uncertain
2201,pottier2016comparative,Simon,"Pottier, A., Espagne, E., Perrissin Fabert, B., Dumas, P.",2015,"Pottier, Antonin, et al. ""The comparative impact of integrated assessment models’ structures on optimal mitigation policies."" Environmental Modeling & Assessment 20.5 (2015): 453-473.",RESPONSE,DICE,,2050,12,2005,Optimal,,,0.1%-3%,1,1,,,,,,,,,,,,,,,,,,,,2,,5,,27,,65,,,,,1,,,,,,,,,,,,,Table 6,,Abatement costs also uncertain
2201,pottier2016comparative,Simon,"Pottier, A., Espagne, E., Perrissin Fabert, B., Dumas, P.",2015,"Pottier, Antonin, et al. ""The comparative impact of integrated assessment models’ structures on optimal mitigation policies."" Environmental Modeling & Assessment 20.5 (2015): 453-473.",RESPONSE,DICE,,2050,23,2005,Optimal,,,0.1%-3%,1,,,,,,,,,,,,,,,,,,,,,6,,12,,45,,89,,,,,1,,,,,1,,,,,,,,Table 6,,Abatement costs also uncertain
2201,pottier2016comparative,Simon,"Pottier, A., Espagne, E., Perrissin Fabert, B., Dumas, P.",2015,"Pottier, Antonin, et al. ""The comparative impact of integrated assessment models’ structures on optimal mitigation policies."" Environmental Modeling & Assessment 20.5 (2015): 453-473.",RESPONSE,DICE,,2050,20,2005,Optimal,,,0.1%-3%,1,1,,,,,,,,,,,,,,,,,,,,4,,8,,41,,73,,,,,1,,,,,,,1,,,,,,Table 6,,Abatement costs also uncertain
2201,pottier2016comparative,Simon,"Pottier, A., Espagne, E., Perrissin Fabert, B., Dumas, P.",2015,"Pottier, Antonin, et al. ""The comparative impact of integrated assessment models’ structures on optimal mitigation policies."" Environmental Modeling & Assessment 20.5 (2015): 453-473.",RESPONSE,DICE,,2100,46,2005,Optimal,,,0.1%-3%,1,,,,,,,,,,,,,,,,,,,,,10,,21,,105,,208,,,,,1,,,,,,,,,,,,,Table 6,,Abatement costs also uncertain
2201,pottier2016comparative,Simon,"Pottier, A., Espagne, E., Perrissin Fabert, B., Dumas, P.",2015,"Pottier, Antonin, et al. ""The comparative impact of integrated assessment models’ structures on optimal mitigation policies."" Environmental Modeling & Assessment 20.5 (2015): 453-473.",RESPONSE,DICE,,2100,23,2005,Optimal,,,0.1%-3%,1,1,,,,,,,,,,,,,,,,,,,,3,,23,,58,,132,,,,,1,,,,,,,,,,,,,Table 6,,Abatement costs also uncertain
2201,pottier2016comparative,Simon,"Pottier, A., Espagne, E., Perrissin Fabert, B., Dumas, P.",2015,"Pottier, Antonin, et al. ""The comparative impact of integrated assessment models’ structures on optimal mitigation policies."" Environmental Modeling & Assessment 20.5 (2015): 453-473.",RESPONSE,DICE,,2100,45,2005,Optimal,,,0.1%-3%,1,,,,,,,,,,,,,,,,,,,,,9,,19,,109,,215,,,,,1,,,,,1,,,,,,,,Table 6,,Abatement costs also uncertain
2201,pottier2016comparative,Simon,"Pottier, A., Espagne, E., Perrissin Fabert, B., Dumas, P.",2015,"Pottier, Antonin, et al. ""The comparative impact of integrated assessment models’ structures on optimal mitigation policies."" Environmental Modeling & Assessment 20.5 (2015): 453-473.",RESPONSE,DICE,,2100,22,2005,Optimal,,,0.1%-3%,1,1,,,,,,,,,,,,,,,,,,,,4,,9,,57,,128,,,,,1,,,,,,,1,,,,,,Table 6,,Abatement costs also uncertain
1286,faulwasser2018towards,Simon,"Faulwasser, T., Nydestedt, R., Kellett, C.M., Weller, S.R.",2018,"Faulwasser, Timm, et al. ""Towards a FAIR-DICE IAM: Combining DICE and FAIR Models."" IFAC-PapersOnLine 51.5 (2018): 126-131.",FAIR-DICE,DICE-2013R,,2010,51,2005,Optimal,14,,1.5,1.45,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Figure 6,,Recalibrates DICE warming model as well as changing structure of carbon cycle
1286,faulwasser2018towards,Simon,"Faulwasser, T., Nydestedt, R., Kellett, C.M., Weller, S.R.",2018,"Faulwasser, Timm, et al. ""Towards a FAIR-DICE IAM: Combining DICE and FAIR Models."" IFAC-PapersOnLine 51.5 (2018): 126-131.",FAIR-DICE,DICE-2013R,,2020,64,2005,Optimal,18,,1.5,1.45,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Figure 6,,Recalibrates DICE warming model as well as changing structure of carbon cycle
1286,faulwasser2018towards,Simon,"Faulwasser, T., Nydestedt, R., Kellett, C.M., Weller, S.R.",2018,"Faulwasser, Timm, et al. ""Towards a FAIR-DICE IAM: Combining DICE and FAIR Models."" IFAC-PapersOnLine 51.5 (2018): 126-131.",FAIR-DICE,DICE-2013R,,2050,165,2005,Optimal,51,,1.5,1.45,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Figure 6,,Recalibrates DICE warming model as well as changing structure of carbon cycle
1286,faulwasser2018towards,Simon,"Faulwasser, T., Nydestedt, R., Kellett, C.M., Weller, S.R.",2018,"Faulwasser, Timm, et al. ""Towards a FAIR-DICE IAM: Combining DICE and FAIR Models."" IFAC-PapersOnLine 51.5 (2018): 126-131.",FAIR-DICE,DICE-2013R,,2100,502,2005,Optimal,142,,1.5,1.45,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Figure 6,,Recalibrates DICE warming model as well as changing structure of carbon cycle
2285,van2015untapped,Simon,"van der Ploeg, F.",2015,"van der Ploeg, Frederick. ""Untapped fossil fuel and the green paradox: a classroom calibration of the optimal carbon tax."" Environmental Economics and Policy Studies 17.2 (2015): 185-210.",,,,2012,85,2012,Optimal,,3,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Figure 5,,
2285,van2015untapped,Simon,"van der Ploeg, F.",2015,"van der Ploeg, Frederick. ""Untapped fossil fuel and the green paradox: a classroom calibration of the optimal carbon tax."" Environmental Economics and Policy Studies 17.2 (2015): 185-210.",,,,2012,59,2012,Optimal,,3.5,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Figure 5,,
2285,van2015untapped,Simon,"van der Ploeg, F.",2015,"van der Ploeg, Frederick. ""Untapped fossil fuel and the green paradox: a classroom calibration of the optimal carbon tax."" Environmental Economics and Policy Studies 17.2 (2015): 185-210.",,,,2012,80,2012,Optimal,,3,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Figure 5,,This run with higher fossil fuel reserves
2285,van2015untapped,Simon,"van der Ploeg, F.",2015,"van der Ploeg, Frederick. ""Untapped fossil fuel and the green paradox: a classroom calibration of the optimal carbon tax."" Environmental Economics and Policy Studies 17.2 (2015): 185-210.",,,,2020,86,2012,Optimal,,3,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Figure 5,,
2285,van2015untapped,Simon,"van der Ploeg, F.",2015,"van der Ploeg, Frederick. ""Untapped fossil fuel and the green paradox: a classroom calibration of the optimal carbon tax."" Environmental Economics and Policy Studies 17.2 (2015): 185-210.",,,,2020,61,2012,Optimal,,3.5,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Figure 5,,
2285,van2015untapped,Simon,"van der Ploeg, F.",2015,"van der Ploeg, Frederick. ""Untapped fossil fuel and the green paradox: a classroom calibration of the optimal carbon tax."" Environmental Economics and Policy Studies 17.2 (2015): 185-210.",,,,2020,82,2012,Optimal,,3,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Figure 5,,This run with higher fossil fuel reserves
2285,van2015untapped,Simon,"van der Ploeg, F.",2015,"van der Ploeg, Frederick. ""Untapped fossil fuel and the green paradox: a classroom calibration of the optimal carbon tax."" Environmental Economics and Policy Studies 17.2 (2015): 185-210.",,,,2050,91,2012,Optimal,,3,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Figure 5,,
2285,van2015untapped,Simon,"van der Ploeg, F.",2015,"van der Ploeg, Frederick. ""Untapped fossil fuel and the green paradox: a classroom calibration of the optimal carbon tax."" Environmental Economics and Policy Studies 17.2 (2015): 185-210.",,,,2050,68,2012,Optimal,,3.5,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Figure 5,,
2285,van2015untapped,Simon,"van der Ploeg, F.",2015,"van der Ploeg, Frederick. ""Untapped fossil fuel and the green paradox: a classroom calibration of the optimal carbon tax."" Environmental Economics and Policy Studies 17.2 (2015): 185-210.",,,,2050,91,2012,Optimal,,3,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Figure 5,,This run with higher fossil fuel reserves
2285,van2015untapped,Simon,"van der Ploeg, F.",2015,"van der Ploeg, Frederick. ""Untapped fossil fuel and the green paradox: a classroom calibration of the optimal carbon tax."" Environmental Economics and Policy Studies 17.2 (2015): 185-210.",,,,2100,92,2012,Optimal,,3,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Figure 5,,
2285,van2015untapped,Simon,"van der Ploeg, F.",2015,"van der Ploeg, Frederick. ""Untapped fossil fuel and the green paradox: a classroom calibration of the optimal carbon tax."" Environmental Economics and Policy Studies 17.2 (2015): 185-210.",,,,2100,76,2012,Optimal,,3.5,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Figure 5,,
2285,van2015untapped,Simon,"van der Ploeg, F.",2015,"van der Ploeg, Frederick. ""Untapped fossil fuel and the green paradox: a classroom calibration of the optimal carbon tax."" Environmental Economics and Policy Studies 17.2 (2015): 185-210.",,,,2100,102,2012,Optimal,,3,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Figure 5,,This run with higher fossil fuel reserves
3795,Pycroft2011,Fran,"Pycroft, Jonathan;Vergano, Lucia;Hope, Chris;Paci, Daniele;Ciscar, Juan Carlos",2011,"Pycroft et al. (2011) A Tale of Tails: Uncertainty and the Social Cost of Carbon Dioxide, Economics: The E-Journal",PAGE2009,,Sensitivity Analysis,2008,131,,Baseline,102,,,,,,,,,,,,,,,,,,,,,,,12,,,,57,,,,374,,841,,,,,,,1,,,,,,,,"Table 1, Thin Tailed",,All PAGE09 parametric uncertainties inherited. Central value is mean of distribution
3795,Pycroft2011,Fran,"Pycroft, Jonathan;Vergano, Lucia;Hope, Chris;Paci, Daniele;Ciscar, Juan Carlos",2011,"Pycroft et al. (2011) A Tale of Tails: Uncertainty and the Social Cost of Carbon Dioxide, Economics: The E-Journal",PAGE2009,,Sensitivity Analysis,2008,146,,Baseline,102,,,,,,,,,,,,,,,,,,,,,,,11,,,,57,,,,409,,564,,,,,,,1,,,,,,,,"Table 1, Interm. Tail",,All PAGE09 parametric uncertainties inherited. Central value is mean of distribution
3795,Pycroft2011,Fran,"Pycroft, Jonathan;Vergano, Lucia;Hope, Chris;Paci, Daniele;Ciscar, Juan Carlos",2011,"Pycroft et al. (2011) A Tale of Tails: Uncertainty and the Social Cost of Carbon Dioxide, Economics: The E-Journal",PAGE2009,,Sensitivity Analysis,2008,188,,Baseline,102,,,,,,,,,,,,,,,,,,,,,,,12,,,,54,,,,564,,2797,,,,,,,1,,,,,,,,"Table 1, Fat Tail",,All PAGE09 parametric uncertainties inherited. Central value is mean of distribution
3795,Pycroft2011,Fran,"Pycroft, Jonathan;Vergano, Lucia;Hope, Chris;Paci, Daniele;Ciscar, Juan Carlos",2011,"Pycroft et al. (2011) A Tale of Tails: Uncertainty and the Social Cost of Carbon Dioxide, Economics: The E-Journal",PAGE2009,,Sensitivity Analysis,2008,99,,Baseline,76,,,,,,,,,,,,,,,,,,,,,,,11,,,,50,,,,300,,658,,,,,,,,,1,,,,,,"Table 2, Thin Tail",,"All PAGE09 parametric uncertainties inherited, except damage discontinuity is off. Central value is mean of distribution"
3795,Pycroft2011,Fran,"Pycroft, Jonathan;Vergano, Lucia;Hope, Chris;Paci, Daniele;Ciscar, Juan Carlos",2011,"Pycroft et al. (2011) A Tale of Tails: Uncertainty and the Social Cost of Carbon Dioxide, Economics: The E-Journal",PAGE2009,,Sensitivity Analysis,2008,94,,Baseline,76,,,,,,,,,,,,,,,,,,,,,,,11,,,,50,,,,300,,762,,,,,,,,,1,,,,,,"Table 2, Interm. Tail",,"All PAGE09 parametric uncertainties inherited, except damage discontinuity is off. Central value is mean of distribution"
3795,Pycroft2011,Fran,"Pycroft, Jonathan;Vergano, Lucia;Hope, Chris;Paci, Daniele;Ciscar, Juan Carlos",2011,"Pycroft et al. (2011) A Tale of Tails: Uncertainty and the Social Cost of Carbon Dioxide, Economics: The E-Journal",PAGE2009,,Sensitivity Analysis,2008,114,,Baseline,76,,,,,,,,,,,,,,,,,,,,,,,11,,,,50,,,,358,,1421,,,,,,,,,1,,,,,,"Table 2, Fat Tail",,"All PAGE09 parametric uncertainties inherited, except damage discontinuity is off. Central value is mean of distribution"
3795,Pycroft2011,Fran,"Pycroft, Jonathan;Vergano, Lucia;Hope, Chris;Paci, Daniele;Ciscar, Juan Carlos",2011,"Pycroft et al. (2011) A Tale of Tails: Uncertainty and the Social Cost of Carbon Dioxide, Economics: The E-Journal",PAGE2009,,Sensitivity Analysis,2008,135,,Baseline,102,,,,,,,,,,,,,,,,,,,,,,,12,,,,58,,,,489,,1276,,,,,,,1,,1,,,,,,"Table 3, Thin Tail",,All PAGE09 parametric uncertainties inherited. Central value is mean of distribution
3795,Pycroft2011,Fran,"Pycroft, Jonathan;Vergano, Lucia;Hope, Chris;Paci, Daniele;Ciscar, Juan Carlos",2011,"Pycroft et al. (2011) A Tale of Tails: Uncertainty and the Social Cost of Carbon Dioxide, Economics: The E-Journal",PAGE2009,,Sensitivity Analysis,2008,147,,Baseline,102,,,,,,,,,,,,,,,,,,,,,,,12,,,,57,,,,551,,1660,,,,,,,1,,1,,,,,,"Table 3, Interm. Tail",,All PAGE09 parametric uncertainties inherited. Central value is mean of distribution
3795,Pycroft2011,Fran,"Pycroft, Jonathan;Vergano, Lucia;Hope, Chris;Paci, Daniele;Ciscar, Juan Carlos",2011,"Pycroft et al. (2011) A Tale of Tails: Uncertainty and the Social Cost of Carbon Dioxide, Economics: The E-Journal",PAGE2009,,Sensitivity Analysis,2008,218,,Baseline,102,,,,,,,,,,,,,,,,,,,,,,,11,,,,55,,,,839,,3082,,,,,,,1,,1,,,,,,"Table 3, Fat Tail",,All PAGE09 parametric uncertainties inherited. Central value is mean of distribution
2532,Heala2014,Fran,"Heal, G.M., Millner, A.",2014,"Heal, G. and A. Millner (2014) Agreeing to disagree on climate policy",DICE-2007,,Empirical Improvement,2010,13,2007,Baseline (Average over IAWG Scenarios),10,,Declining,2,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,74,,,,,,,,,,,1,,,Estimated from Figure 1,,Paper uses a declining PRTP based on Nordhaus vs Stern PRTP
1474,Brock2017,Fran,"Brock, W., Xepapadeas, A.",2017,Brock and Xepapadeas (2017) Climate change policy under polar amplification,,DICE-2007,Empirical Improvement,2100,37,2015,Optimal,33,,2,1,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""Steady State"" (i.e. year 100) values from Figure 3",,
341,Okullo2020,Fran,"Okullo, S.J.",2020,Okullo (2020) Determining the Social Cost of Carbon: Under Damage and Climate Sensitivity Uncertainty,DICE-2013R,,Sensitivity Analysis,2020,95,,Optimal,35,,1.5,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Figure 1 e,,
341,Okullo2020,Fran,"Okullo, S.J.",2020,Okullo (2020) Determining the Social Cost of Carbon: Under Damage and Climate Sensitivity Uncertainty,DICE-2013R,,Sensitivity Analysis,2050,200,,Optimal,90,,1.5,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Figure 1 e,,
341,Okullo2020,Fran,"Okullo, S.J.",2020,Okullo (2020) Determining the Social Cost of Carbon: Under Damage and Climate Sensitivity Uncertainty,DICE-2013R,,Sensitivity Analysis,2075,340,,Optimal,160,,1.5,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Figure 1 e,,
341,Okullo2020,Fran,"Okullo, S.J.",2020,Okullo (2020) Determining the Social Cost of Carbon: Under Damage and Climate Sensitivity Uncertainty,DICE-2013R,,Sensitivity Analysis,2015,26,,Optimal,33,,3.08,,,,,,,,,,,,1,,,,,,,20,,,,,,,,,,,,,29,,,,,,,,,,,1,,1,Figure 1f and Section 4.2 text,,Includes climate sensitivity and damage function uncertainty in optimization under uncertainty
341,Okullo2020,Fran,"Okullo, S.J.",2020,Okullo (2020) Determining the Social Cost of Carbon: Under Damage and Climate Sensitivity Uncertainty,DICE-2013R,,Sensitivity Analysis,2050,65,,Optimal,85,,3.08,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Figure 1f,,
341,Okullo2020,Fran,"Okullo, S.J.",2020,Okullo (2020) Determining the Social Cost of Carbon: Under Damage and Climate Sensitivity Uncertainty,DICE-2013R,,Sensitivity Analysis,2075,148,,Optimal,162,,3.08,,,,,,,,,,,,1,,,,,,,83,,,,,,,,,,,,,158,,,,,,,,,,,1,,1,Figure 1f and Section 4.2 text,,Includes climate sensitivity and damage function uncertainty in optimization under uncertainty
