Title,Abstract,Missing DOI Duplicate in SCOPUS?,StoreId,AccessionNumber,ArticleType,AuthorAffiliation,Authors,copyright,correspondenceAuthor,digitalObjectIdentifier,documentType,elecISSN,entryDate,isbn,issn,issue,language,languageOfSummary,pages,pubdate,pubtitle,publicationType,year,publisher,sourceAttrib,volume,DocumentURL,britishNursingIndexEdition,notes,startPage,subjectTerms,FindACopy,Database
The Treatment of Risk and Uncertainty in the US Social Cost of Carbon for Regulatory Impact Analysis,"This note considers the treatment of risk and uncertainty in the recently established 'social cost of carbon' (SCC) for analysis of federal regulations in the United States. It argues that the analysis of the US Interagency Working Group on Social Cost of Carbon did not go far enough into the tail of low-probability, high-impact scenarios, and, via its approach to discounting, it mis-estimated climate risk, possibly hugely. Given the uncertainty about estimating the SCC, the note concludes by arguing that there is in fact much to commend an approach whereby a quantitative, long-term emissions target is chosen, and the price of carbon for regulatory impact analysis is then based on estimates of the marginal cost of abatement to achieve that very target.",1,1462182416, 1402202,Scholarly Journals,,"Dietz, Simon",," Dietz, Simon",, Journal Article,,"  0, 2012",,1864-6042,, English, English,,"0, 2012","Economics: The Open-Access, Open-Assessment E-Journal"," CSAPTjournals , CSAPTpeerjournals",2012,, American Economic Association,6,https://search.proquest.com/docview/1462182416?accountid=14505," Economics: The Open-Access, Open-Assessment E-Journal, vol. 6, 2012", [URL:http://www.economics-ejournal.org] Publisher's URL,," Valuation of Environmental Effects (Q51) , Climate, Natural Disasters and Their Management, Global Warming (Q54) , Environmental Economics: Government Policy (Q58) , U.S. , Northern America , Climate , Regulation",https://ucdavis-primo.hosted.exlibrisgroup.com/openurl/01UCD/01UCD_SP?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Aeconlit&amp;atitle=The+Treatment+of+Risk+and+Uncertainty+in+the+US+Social+Cost+of+Carbon+for+Regulatory+Impact+Analysis&amp;title=Economics%3A+The+Open-Access%2C+Open-Assessment+E-Journal&amp;issn=18646042&amp;date=2012-01-01&amp;volume=6&amp;issue=&amp;spage=&amp;au=Dietz%2C+Simon&amp;isbn=&amp;jtitle=Economics%3A+The+Open-Access%2C+Open-Assessment+E-Journal&amp;btitle=&amp;rft_id=info:eric/1402202&amp;rft_id=info:doi/,EconLit
Are Economists Getting Climate Dynamics Right and Does It Matter?,"We show that several of the most important economic models of climate change produce climate dynamics inconsistent with the current crop of models in climate science. First, most economic models exhibit far too long a delay between an impulse of CO2 emissions and warming. Second, few economic models incorporate positive feedbacks in the carbon cycle, whereby carbon sinks remove less CO2 from the atmosphere, the more CO2 they have already removed cumulatively, and the higher is temperature. These inconsistencies affect economic prescriptions to abate CO2 emissions. Controlling for how the economy is represented, different climate models result in significantly different optimal CO2 emissions. A long delay between emissions and warming leads to optimal carbon prices that are too low and too much sensitivity of optimal carbon prices to the discount rate. Omitting positive carbon cycle feedbacks also leads to optimal carbon prices that are too low. We conclude it is important for policy purposes to bring economic models in line with the state of the art in climate science.",0,2386191006, 1824943,Working Papers,,"Dietz, Simon;van der Ploeg, Rick;Rezai, Armon;Venmans, Frank",," Dietz, Simon",, Working Paper,, 2020,,,, English, English,,2020,, CSAPTWorkingPapers,2020," CESifo Group Munich, CESifo Working Paper Series: 8122"," American Economic Association © CESifo Group Munich, CESifo Working Paper Series: 8122",,https://search.proquest.com/docview/2386191006?accountid=14505,, [URL:https://www.cesifo-group.de/DocDL/cesifo1_wp8122_0.pdf] URL,," Climate, Natural Disasters and Their Management, Global Warming (Q54) , carbon cycle, carbon price, climate change, integrated assessment modelling, positive feedbacks, social cost of carbon",https://ucdavis-primo.hosted.exlibrisgroup.com/openurl/01UCD/01UCD_SP?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=preprint&amp;sid=ProQ:ProQ%3Aeconlit&amp;atitle=Are+Economists+Getting+Climate+Dynamics+Right+and+Does+It+Matter%3F&amp;title=&amp;issn=&amp;date=2020-01-01&amp;volume=&amp;issue=&amp;spage=&amp;au=Dietz%2C+Simon%3Bvan+der+Ploeg%2C+Rick%3BRezai%2C+Armon%3BVenmans%2C+Frank&amp;isbn=&amp;jtitle=&amp;btitle=&amp;rft_id=info:eric/1824943&amp;rft_id=info:doi/,EconLit
Relative Prices and Climate Policy: How the Scarcity of Non-Market Goods Drives Policy Evaluation,"Climate change not only impacts production and market consumption, but also the relative scarcity of non-market goods, such as environmental amenities. We study fundamental drivers of the resulting relative price changes, their potential magnitude, and their implications for climate policy in Nordhaus' prominent DICE model, thereby addressing one of its key criticisms. We propose plausible ranges for these relative prices changes based on best available evidence. Our central calibration reveals that accounting for relative prices is equivalent to decreasing pure time preference by 0.6 percentage points and leads to a more than 50 percent higher social cost of carbon.",0,2386197882, 1825013,Working Papers,,"Drupp, Moritz A;Hansel, Martin C",," Drupp, Moritz A",, Working Paper,, 2020,,,, English, English,,2020,, CSAPTWorkingPapers,2020," CESifo Group Munich, CESifo Working Paper Series: 8052"," American Economic Association © CESifo Group Munich, CESifo Working Paper Series: 8052",,https://search.proquest.com/docview/2386197882?accountid=14505,, [URL:https://www.cesifo-group.de/DocDL/cesifo1_wp8052.pdf] URL,," Allocative Efficiency, Cost-Benefit Analysis (D61) , Project Evaluation, Social Discount Rate (H43) , Sustainable Development (Q01) , Climate, Natural Disasters and Their Management, Global Warming (Q54) , climate policy, discounting, non-market goods, social cost of carbon, substitutability",https://ucdavis-primo.hosted.exlibrisgroup.com/openurl/01UCD/01UCD_SP?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=preprint&amp;sid=ProQ:ProQ%3Aeconlit&amp;atitle=Relative+Prices+and+Climate+Policy%3A+How+the+Scarcity+of+Non-Market+Goods+Drives+Policy+Evaluation&amp;title=&amp;issn=&amp;date=2020-01-01&amp;volume=&amp;issue=&amp;spage=&amp;au=Drupp%2C+Moritz+A%3BHansel%2C+Martin+C&amp;isbn=&amp;jtitle=&amp;btitle=&amp;rft_id=info:eric/1825013&amp;rft_id=info:doi/,EconLit
Disentangling the Stern/Nordhaus Controversy: Beyond the Discounting Clash,"The Stern/Nordhaus controversy has polarized the widely disparate beliefs about what to do in order to tackle the climate challenge. To explain differences in results and policy recommendations, comments following the publication of the Stern Review have mainly focused on the role played by the discount rate. A closer look at the actual drivers of the controversy reveals however that Stern and Nordhaus also disagree on two other parameters: technical progress on abatement costs and the climate sensitivity. This paper aims at appraising the relative impacts of such key drivers of the controversy on the social cost of carbon and climate policy recommendations. To this end, we use the flexible integrated assessment model RESPONSE which allows us to compare very diverse worldviews, including Stern and Nordhaus' ones within the same modelling framework and map the relative impacts of beliefs on the three key drivers of the controversy. Furthermore we appraise quantitatively, by means of a linear statistical model, the impacts on results of an extended set of core parameters of RESPONSE. We show that beliefs on long term economic growth, technical progress, the form of the climate damage function and the climate sensitivity have an impact as important as beliefs on pure time preference. Hence, we can qualify the role played by the discount rate in the Stern/Nordhaus controversy and more broadly in the definition of climate policies.",0,1125214274, 1330940,Working Papers,,"Espagne, Etienne;Perrissin Fabert, Baptiste;Pottier, Antonin;Nadaud, Franck;Patrice Dumas, Patrice Dumas"," Information provided in collaboration with the RePEc Project: <a href=""http://repec.org"">RePEc</a>"," Espagne, Etienne",, Working Paper,,"  0, 2012",,,, English, English,,"0, 2012","Fondazione Eni Enrico Mattei, Working Papers: 2012.61, 2012", CSAPTWorkingPapers,2012," Fondazione Eni Enrico Mattei, Working Papers: 2012.61"," American Economic Association © Fondazione Eni Enrico Mattei, Working Papers: 2012.61",,https://search.proquest.com/docview/1125214274?accountid=14505," Fondazione Eni Enrico Mattei, Working Papers: 2012.61, 2012", [URL:http://www.feem.it/userfiles/attach/20129121056434NDL2012-061.pdf] URL,," Climate, Natural Disasters and Their Management, Global Warming (Q54) , Environmental Economics: Government Policy (Q58) , Optimization Techniques, Programming Models, Dynamic Analysis (C61) , Integrated Assessment Model, Discount Rate, Social Cost of Carbon, Abatement Policy, Worldview",https://ucdavis-primo.hosted.exlibrisgroup.com/openurl/01UCD/01UCD_SP?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=preprint&amp;sid=ProQ:ProQ%3Aeconlit&amp;atitle=Disentangling+the+Stern%2FNordhaus+Controversy%3A+Beyond+the+Discounting+Clash&amp;title=&amp;issn=&amp;date=2012-01-01&amp;volume=&amp;issue=&amp;spage=&amp;au=Espagne%2C+Etienne%3BPerrissin+Fabert%2C+Baptiste%3BPottier%2C+Antonin%3BNadaud%2C+Franck%3BPatrice+Dumas%2C+Patrice+Dumas&amp;isbn=&amp;jtitle=&amp;btitle=&amp;rft_id=info:eric/1330940&amp;rft_id=info:doi/,EconLit
Welfare Analysis of an Optimal Carbon Tax in Chile,"We analyze a dynamic stochastic general equilibrium model which includes a negative externality that arises from fossil fuels burning. The carbon released to the atmosphere by electricity producers is the main driver of climate change. We adapt the optimal tax derived by Golosov et al. (2011) to a small open economy to force polluters to internalize their damages. The results show that the tax benefits outweigh their costs; yet welfare gains seem to be marginal under plausible parameters. We calculate the optimal carbon tax for Chile and the tax effectiveness achieved, which is around 10 percent. The results remain robust to variations in the utility function, changes in parameters that determine the externality and alternative degrees of commitment to reduce emissions.",1,1883165525, 1625461,Scholarly Journals,,"Espinosa, Cristian;Fornero, Jorge",," Espinosa, Cristian",, Journal Article,, October 2014,,0716-5927,2, English, English, 75-111,October 2014,Revista de Analisis Economico," CSAPTjournals , CSAPTpeerjournals",2014,, American Economic Association,29,https://search.proquest.com/docview/1883165525?accountid=14505," Revista de Analisis Economico, vol. 29, no. 2, October 2014, pp. 75-111", [URL:http://www.rae-ear.org/index.php/rae/issue/archive] Publisher's URL, 75," Computable and Other Applied General Equilibrium Models (D58) , Taxation and Subsidies: Externalities, Redistributive Effects, Environmental Taxes and Subsidies (H23) , Economic Development: Agriculture, Natural Resources, Energy, Environment, Other Primary Products (O13) , Formal and Informal Sectors, Shadow Economy, Institutional Arrangements (O17) , Air Pollution, Water Pollution, Noise, Hazardous Waste, Solid Waste, Recycling (Q53) , Climate, Natural Disasters and Their Management, Global Warming (Q54) , Chile , Latin America and the Caribbean , Climate , Equilibrium , Externality , General Equilibrium , Polluter , Tax , Tax Benefit",https://ucdavis-primo.hosted.exlibrisgroup.com/openurl/01UCD/01UCD_SP?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Aeconlit&amp;atitle=Welfare+Analysis+of+an+Optimal+Carbon+Tax+in+Chile&amp;title=Revista+de+Analisis+Economico&amp;issn=07165927&amp;date=2014-10-01&amp;volume=29&amp;issue=2&amp;spage=75&amp;au=Espinosa%2C+Cristian%3BFornero%2C+Jorge&amp;isbn=&amp;jtitle=Revista+de+Analisis+Economico&amp;btitle=&amp;rft_id=info:eric/1625461&amp;rft_id=info:doi/,EconLit
Even the Representative Agent Must Die: Using Demographics to Inform Long-Term Social Discount Rates,"We develop a demographically-based approach for estimating the utility discount rate (UDR) portion of the Ramsey rule. We show how age-specific mortality rates and life expectancies imply a natural UDR for individuals at each age in a population, and these can be aggregated into a population-level social UDR. We then provide empirical estimates for nearly all countries and for the world as a whole. A striking part of the analysis is how the estimated UDRs fall within the range of those currently employed in the macroeconomics and climate change literatures. We use our results to derive heterogenous social discount rates across countries and explore the consequences for an integrated assessment model of climate change. We find that introducing regional heterogeneity of UDRs into the RICE model has little impact on the business-as-usual trajectory of global emissions. It does, however, change the trajectory of optimal emissions, the corresponding optimal carbon tax, and the distribution of emission reductions across countries.",0,1934221902, 1652356,Working Papers,,"Fenichel, Eli P;Kotchen, Matthew J;Addicott, Ethan T"," Information provided in collaboration with the RePEc Project: <a href=""http://repec.org"">RePEc</a>"," Fenichel, Eli P",, Working Paper,,"  0, 2017",,0898-2937,, English, English,,"0, 2017",NBER Working Paper Series, CSAPTWorkingPapers,2017," National Bureau of Economic Research, Inc, NBER Working Papers: 23591"," American Economic Association © National Bureau of Economic Research, Inc, NBER Working Papers: 23591",w23591,https://search.proquest.com/docview/1934221902?accountid=14505," National Bureau of Economic Research, Inc, NBER Working Papers: 23591, 2017", [URL:http://www.nber.org/papers/w23591.pdf] URL,," Project Evaluation, Social Discount Rate (H43) , Planning Models, Planning Policy (O21) , Climate, Natural Disasters and Their Management, Global Warming (Q54)",https://ucdavis-primo.hosted.exlibrisgroup.com/openurl/01UCD/01UCD_SP?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=preprint&amp;sid=ProQ:ProQ%3Aeconlit&amp;atitle=Even+the+Representative+Agent+Must+Die%3A+Using+Demographics+to+Inform+Long-Term+Social+Discount+Rates&amp;title=NBER+Working+Paper+Series&amp;issn=08982937&amp;date=2017-01-01&amp;volume=w23591&amp;issue=&amp;spage=&amp;au=Fenichel%2C+Eli+P%3BKotchen%2C+Matthew+J%3BAddicott%2C+Ethan+T&amp;isbn=&amp;jtitle=NBER+Working+Paper+Series&amp;btitle=&amp;rft_id=info:eric/1652356&amp;rft_id=info:doi/,EconLit
Environmental Protection for Sale: Strategic Green Industrial Policy and Climate Finance,"Industrial policy has long been criticized as subject to protectionist interests; accordingly, subsidies to domestic producers face disciplines under World Trade Organization agreements, without exceptions for environmental purposes. Now green industrial policy is gaining popularity as governments search for low-carbon solutions that also provide jobs at home. The strategic trade literature has largely ignored the issue of market failures related to green goods. I consider the market for a new environmental good (such as low-carbon technology) whose downstream consumption provides external benefits (such as reduced emissions). Governments may have some preference for supporting domestic production, such as by interest-group lobbying, introducing a political distortion in their objective function. I examine the national incentives and global rationales for offering production (upstream) and deployment (downstream) subsidies in producer countries, allowing that some of the downstream market may lie in nonregulating third-party countries. Restraints on upstream subsidies erode global welfare when environmental externalities are large enough relative to political distortions. Climate finance is an effective alternative if political distortions are large and governments do not undervalue carbon costs. Numerical simulations of the case of renewable energy indicate that a modest social cost of carbon can imply benefits from allowing upstream subsidies.",1,1815661106, 1587421,Working Papers,,"Fischer, Carolyn"," Information provided in collaboration with the RePEc Project: <a href=""http://repec.org"">RePEc</a>"," Fischer, Carolyn",, Working Paper,,"  0, 2016",,,, English, English,,"0, 2016","Resources For the Future, Discussion Papers, 2016", CSAPTWorkingPapers,2016," Resources For the Future, Discussion Papers"," American Economic Association © Resources For the Future, Discussion Papers",,https://search.proquest.com/docview/1815661106?accountid=14505," Resources For the Future, Discussion Papers, 2016", [URL:http://www.rff.org/research/publications/environmental-protection-sale-strategic-green-industrial-policy-and-climate] URL,," Trade Policy, International Trade Organizations (F13) , Trade and Environment (F18) , Taxation and Subsidies: Efficiency, Optimal Taxation (H21) , Environmental Economics: General (Q50) , Green Industrial Policy, Emissions Leakage, Externalities, International Trade, Renewable Energy, Subsidies",https://ucdavis-primo.hosted.exlibrisgroup.com/openurl/01UCD/01UCD_SP?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=preprint&amp;sid=ProQ:ProQ%3Aeconlit&amp;atitle=Environmental+Protection+for+Sale%3A+Strategic+Green+Industrial+Policy+and+Climate+Finance&amp;title=&amp;issn=&amp;date=2016-01-01&amp;volume=&amp;issue=&amp;spage=&amp;au=Fischer%2C+Carolyn&amp;isbn=&amp;jtitle=&amp;btitle=&amp;rft_id=info:eric/1587421&amp;rft_id=info:doi/,EconLit
Environmental Protection for Sale: Strategic Green Industrial Policy and Climate Finance,"Industrial policy has long been criticized as subject to protectionist interests; accordingly, subsidies to domestic producers face disciplines under World Trade Organization agreements, without exceptions for environmental purposes. Now green industrial policy is gaining popularity as governments search for low-carbon solutions that also provide jobs at home. The strategic trade literature has largely ignored the issue of market failures related to green goods. I consider the market for a new environmental good (like low-carbon technology) whose downstream consumption provides external benefits (like reduced emissions). Governments may have some preference for supporting domestic production, such as by interest-group lobbying, introducing a political distortion in their objective function. I examine the national incentives and global rationales for offering production (upstream) and deployment (downstream) subsidies in producer countries, allowing that some of the downstream market may lie in nonregulating third-party countries. Restraints on upstream subsidies erode global welfare when environmental externalities are large enough relative to political distortions. Climate finance is an effective alternative if political distortions are large and governments do not undervalue carbon costs. Numerical simulations of the case of renewable energy indicate that a modest social cost of carbon can imply benefits from allowing upstream subsidies.",1,1792767528, 1569461,Working Papers,,"Fischer, Carolyn"," Information provided in collaboration with the RePEc Project: <a href=""http://repec.org"">RePEc</a>"," Fischer, Carolyn",, Working Paper,,"  0, 2016",,,, English, English,,"0, 2016","Fondazione Eni Enrico Mattei, Working Papers: 2016.31, 2016", CSAPTWorkingPapers,2016," Fondazione Eni Enrico Mattei, Working Papers: 2016.31"," American Economic Association © Fondazione Eni Enrico Mattei, Working Papers: 2016.31",,https://search.proquest.com/docview/1792767528?accountid=14505," Fondazione Eni Enrico Mattei, Working Papers: 2016.31, 2016", [URL:http://www.feem.it/userfiles/attach/2016481227254NDL2016-031.pdf] URL,," Trade Policy, International Trade Organizations (F13) , Trade and Environment (F18) , Taxation and Subsidies: Efficiency, Optimal Taxation (H21) , Environmental Economics: General (Q50) , Green Industrial Policy, Emissions Leakage, Externalities, International Trade, Renewable Energy, Subsidies",https://ucdavis-primo.hosted.exlibrisgroup.com/openurl/01UCD/01UCD_SP?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=preprint&amp;sid=ProQ:ProQ%3Aeconlit&amp;atitle=Environmental+Protection+for+Sale%3A+Strategic+Green+Industrial+Policy+and+Climate+Finance&amp;title=&amp;issn=&amp;date=2016-01-01&amp;volume=&amp;issue=&amp;spage=&amp;au=Fischer%2C+Carolyn&amp;isbn=&amp;jtitle=&amp;btitle=&amp;rft_id=info:eric/1569461&amp;rft_id=info:doi/,EconLit
Conflicting Goals: Energy Security vs. GHG Reductions under the EISA Cellulosic Ethanol Mandate,"Increasing energy security and lowering greenhouse gas (GHG) emissions have been prominent goals in recent energy and environmental policies. While these goals are often complementary, there may also be cases where they conflict. A case in point is the Energy Independence and Security Act of 2007 (EISA). The goals of EISA are to increase the United States' energy independence and security as well as to increase the production of clean renewable fuels. Title II of EISA establishes mandates for increasing the use of low carbon fuels to replace gasoline. While the Title II mandates will meet the energy security goal of EISA, the mandate for the use of at least 16 billion gallons of cellulosic ethanol by 2022 may conflict with efforts to reduce substantially the nation's GHG emissions over the next 20 years. The nation's production capacity for biomass is likely to be limited and the use of biomass to replace coal in generating electricity yields 2 to 3 times the GHG reduction associated with using cellulosic ethanol to displace gasoline. Thus, there is a trade-off between the energy security gains of the biofuels mandate under EISA and the more effective (in terms of GHG emission reductions) use of biomass in the electric utility sector. One means of evaluating this trade-off is to examine the factors that affect the cost effectiveness of diverting biomass from electricity production to cellulosic ethanol production. This paper identifies some of the key factors that affect the cost-effectiveness of the energy security and climate change goals of EISA. The cost-effectiveness of EISA will depend on (1) constraints on biomass production, that is, the extent to which the EISA mandate may crowd out the use of biomass to generate electricity; (2) the world oil price (and the cost of production of cellulosic ethanol); and (3) the social cost of carbon.",0,56999557, 1083738,Working Papers,,"Fraas, Arthur;Johansson, Robert"," Information provided in collaboration with the RePEc Project: <a href=""http://repec.org"">RePEc</a>"," Fraas, Arthur",, Working Paper,,"  0, 2009",,,, English, English,,"0, 2009","Resources For the Future, Discussion Papers, 2009", CSAPTWorkingPapers,2009," Resources For the Future, Discussion Papers"," American Economic Association © Resources For the Future, Discussion Papers",,https://search.proquest.com/docview/56999557?accountid=14505," Resources For the Future, Discussion Papers, 2009", [URL:http://www.rff.org/documents/RFF-DP-09-24.pdf] URL,," Alternative Energy Sources (Q42) , Energy: Government Policy (Q48) , Pollution Control Adoption and Costs, Distributional Effects, Employment Effects (Q52) , energy security, cost-effective policy, cellulosic ethanol",https://ucdavis-primo.hosted.exlibrisgroup.com/openurl/01UCD/01UCD_SP?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=preprint&amp;sid=ProQ:ProQ%3Aeconlit&amp;atitle=Conflicting+Goals%3A+Energy+Security+vs.+GHG+Reductions+under+the+EISA+Cellulosic+Ethanol+Mandate&amp;title=&amp;issn=&amp;date=2009-01-01&amp;volume=&amp;issue=&amp;spage=&amp;au=Fraas%2C+Arthur%3BJohansson%2C+Robert&amp;isbn=&amp;jtitle=&amp;btitle=&amp;rft_id=info:eric/1083738&amp;rft_id=info:doi/,EconLit
Positively Gamma Discounting: Combining the Opinions of Experts on the Social Discount Rate,"The aggregated term structure of social discount rates that results from Weitzman's (2001) survey of expert opinion is shown to be highly sensitive to the nature of the responses. If variation reflects irreducible differences in ethical judgments, the term structure can decline rapidly. If variation occurred because respondents were forecasting future rates under uncertainty, the term structure is much flatter because additional experts provide new information. The former approach triples the social cost of carbon when compared to the latter. The distinction between heterogeneity and uncertainty illustrates the need for a nuanced treatment of survey data in intergenerational policy making.",1,1728638799, 1524104,Scholarly Journals,,"Freeman, Mark C;Groom, Ben",," Freeman, Mark C",, Journal Article, 1468-0297, June 2015,,0013-0133,585, English, English, 1015-1024,June 2015,Economic Journal," CSAPTjournals , CSAPTpeerjournals",2015,, American Economic Association,125,https://search.proquest.com/docview/1728638799?accountid=14505," Economic Journal, vol. 125, no. 585, June 2015, pp. 1015-24", [URL:http://onlinelibrary.wiley.com/journal/10.1111/%28ISSN%291468-0297/issues] Publisher's URL, 1015," Criteria for Decision-Making under Risk and Uncertainty (D81) , Asymmetric and Private Information, Mechanism Design (D82) , Project Evaluation, Social Discount Rate (H43) , Alternative Energy Sources (Q42) , Valuation of Environmental Effects (Q51) , Climate, Natural Disasters and Their Management, Global Warming (Q54) , U.K. , Europe , Discounting , Information , Uncertainty",https://ucdavis-primo.hosted.exlibrisgroup.com/openurl/01UCD/01UCD_SP?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Aeconlit&amp;atitle=Positively+Gamma+Discounting%3A+Combining+the+Opinions+of+Experts+on+the+Social+Discount+Rate&amp;title=Economic+Journal&amp;issn=00130133&amp;date=2015-06-01&amp;volume=125&amp;issue=585&amp;spage=1015&amp;au=Freeman%2C+Mark+C%3BGroom%2C+Ben&amp;isbn=&amp;jtitle=Economic+Journal&amp;btitle=&amp;rft_id=info:eric/1524104&amp;rft_id=info:doi/,EconLit
The Social Cost of Carbon: Maintaining the Integrity of Economic Analysis,,1,1924865637, 1649744,Scholarly Journals,,"Gayer, Ted;Viscusi, W Kip",," Gayer, Ted",, Journal Article, 1750-6824, January 2017,,1750-6816,1, English, English, 174-175,January 2017,Review of Environmental Economics and Policy," CSAPTjournals , CSAPTpeerjournals",2017,, American Economic Association,11,https://search.proquest.com/docview/1924865637?accountid=14505," Review of Environmental Economics and Policy, vol. 11, no. 1, Winter 2017, pp. 174-75", [URL:https://academic.oup.com/reep/issue] Publisher's URL, 174," Allocative Efficiency, Cost-Benefit Analysis (D61) , Valuation of Environmental Effects (Q51) , Climate, Natural Disasters and Their Management, Global Warming (Q54) , Environmental Economics: Government Policy (Q58)",https://ucdavis-primo.hosted.exlibrisgroup.com/openurl/01UCD/01UCD_SP?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Aeconlit&amp;atitle=The+Social+Cost+of+Carbon%3A+Maintaining+the+Integrity+of+Economic+Analysis&amp;title=Review+of+Environmental+Economics+and+Policy&amp;issn=17506816&amp;date=2017-01-01&amp;volume=11&amp;issue=1&amp;spage=174&amp;au=Gayer%2C+Ted%3BViscusi%2C+W+Kip&amp;isbn=&amp;jtitle=Review+of+Environmental+Economics+and+Policy&amp;btitle=&amp;rft_id=info:eric/1649744&amp;rft_id=info:doi/,EconLit
Determining the Proper Scope of Climate Change Policy Benefits in U.S. Regulatory Analyses: Domestic versus Global Approaches,"Although benefit assessment principles are well established for specific populations, very little attention has been paid to how to define the scope of the pertinent population for such assessments. Whose social welfare matters and whose benefits should be included in the assessment? Should there be any linkage between the benefits and the political jurisdiction of the citizens paying for the policy? In the case of U.S. regulatory policies, the norm has been to assess the benefits to U.S. citizens. However, in 2010, the Obama administration's Interagency Working Group on Social Cost of Carbon adopted a global perspective on assessing the benefits associated with reductions in carbon dioxide emissions. This article examines whether U.S. policymakers should assess the benefits of climate change policies from a domestic or a global perspective. Drawing from executive orders and the laws governing risk and environmental regulations, we review the norms used for the scope of benefit assessments. Then we examine specific examples of the use of the global approach to benefit assessments of carbon dioxide reductions for energy efficiency regulations. We also compare the U.S. approach to that of other developed countries. Finally, we discuss how reciprocity should be incorporated into global benefits within a benefit-cost framework, and the role of altruism in considering the proper scope of benefits.",1,1845232331, 1604883,Scholarly Journals,,"Gayer, Ted;Viscusi, W Kip",," Gayer, Ted",, Journal Article, 1750-6824, July 2016,,1750-6816,2, English, English, 245-263,July 2016,Review of Environmental Economics and Policy," CSAPTjournals , CSAPTpeerjournals",2016,, American Economic Association,10,https://search.proquest.com/docview/1845232331?accountid=14505," Review of Environmental Economics and Policy, vol. 10, no. 2, Summer 2016, pp. 245-63", [URL:https://academic.oup.com/reep/issue] Publisher's URL, 245," Allocative Efficiency, Cost-Benefit Analysis (D61) , Valuation of Environmental Effects (Q51) , Climate, Natural Disasters and Their Management, Global Warming (Q54) , Environmental Economics: Government Policy (Q58) , Selected MDCs , U.S. , Northern America , Benefit Cost , Climate , Efficiency , Environmental Regulation , Regulation , Welfare",https://ucdavis-primo.hosted.exlibrisgroup.com/openurl/01UCD/01UCD_SP?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Aeconlit&amp;atitle=Determining+the+Proper+Scope+of+Climate+Change+Policy+Benefits+in+U.S.+Regulatory+Analyses%3A+Domestic+versus+Global+Approaches&amp;title=Review+of+Environmental+Economics+and+Policy&amp;issn=17506816&amp;date=2016-07-01&amp;volume=10&amp;issue=2&amp;spage=245&amp;au=Gayer%2C+Ted%3BViscusi%2C+W+Kip&amp;isbn=&amp;jtitle=Review+of+Environmental+Economics+and+Policy&amp;btitle=&amp;rft_id=info:eric/1604883&amp;rft_id=info:doi/,EconLit
