,Authors,Author.s..ID,Title,Year,Source.title,Volume,Issue,Art..No.,Page.start,Page.end,Page.count,Cited.by,Abstract Filter,Filtered By (Initials),Second NA Filter,Second Filter By (Initials),DOI,"Filtering Reason (RAs do not fill this out, only for a reference guide)",Link,Filter Explanation (RAs do not fill this out),Document.Type,Publication.Stage,Access.Type,Source,EID,X,,
589,"Vosooghi, S.",57204689431,Panic-Based Overfishing in Transboundary Fisheries,2019,Environmental and Resource Economics,73,4,,1287,1313,NA,1,0,HFW,,,10.1007/s10640-018-0299-8,,https://www.scopus.com/inward/record.url?eid=2-s2.0-85056725516&partnerID=40&md5=9475925d86a1d2ef07e5f8881fbfdafc,,Article,Final,Open Access,Scopus,2-s2.0-85056725516,,,
591,"Dimanchev, E.G., Paltsev, S., Yuan, M., Rothenberg, D., Tessum, C.W., Marshall, J.D., Selin, N.E.",57211125445; 8691076600; 35222660300; 36106335800; 55290803100; 7404860039; 15081312600,Health co-benefits of sub-national renewable energy policy in the US,2019,Environmental Research Letters,14,8,85012,,,NA,3,0,HFW,,,10.1088/1748-9326/ab31d9,,https://www.scopus.com/inward/record.url?eid=2-s2.0-85072733178&partnerID=40&md5=ef7558bd8135d03ab5cda1e2730e64e9,,Article,Final,Open Access,Scopus,2-s2.0-85072733178,,,
592,"Helveston, J.P., Seki, S.M., Min, J., Fairman, E., Boni, A.A., Michalek, J.J., Azevedo, I.M.L.",56515504600; 57196480555; 55938083300; 57211120147; 15620249600; 7006027951; 57211166980,Choice at the pump: Measuring preferences for lower-carbon combustion fuels,2019,Environmental Research Letters,14,8,84035,,,NA,1,0,HFW,,,10.1088/1748-9326/ab2bd2,,https://www.scopus.com/inward/record.url?eid=2-s2.0-85072706448&partnerID=40&md5=f08febc7f037cdadb4e82f58e190c724,,Article,Final,Open Access,Scopus,2-s2.0-85072706448,,,
594,"Bistline, J., James, R., Sowder, A.",35179135200; 24561535200; 49962214800,"Technology, Policy, and Market Drivers of (and Barriers to) Advanced Nuclear Reactor Deployment in the United States After 2030",2019,Nuclear Technology,205,8,,1075,1094,NA,4,0,HFW,,,10.1080/00295450.2019.1574119,,https://www.scopus.com/inward/record.url?eid=2-s2.0-85063463919&partnerID=40&md5=1b0216e1ecdc83890dac5e6993afec6e,,Article,Final,,Scopus,2-s2.0-85063463919,,,
595,"Zapf, M., Pengg, H., Weindl, C.",57204977270; 57204976920; 6507234386,How to comply with the Paris agreement temperature goal: Global carbon pricing according to carbon budgets,2019,Energies,14,15,2983,,,NA,1,0,HFW,,,10.3390/en12152983,,https://www.scopus.com/inward/record.url?eid=2-s2.0-85070233849&partnerID=40&md5=c8e7a918801540b928593d126f7e5f1d,,Article,Final,Open Access,Scopus,2-s2.0-85070233849,,,
596,"Hannesson, R.",57214859762,How much do European households pay for green energy?,2019,Energy Policy,131,,,235,239,NA,NA,0,HFW,,,10.1016/j.enpol.2019.05.010,,https://www.scopus.com/inward/record.url?eid=2-s2.0-85065526211&partnerID=40&md5=4f4af25f4f920716f11266eb814b2f42,,Article,Final,,Scopus,2-s2.0-85065526211,,,
597,"Abrell, J., Rausch, S., Streitberger, C.",35728268800; 36097451100; 57195324286,The economics of renewable energy support,2019,Journal of Public Economics,176,,,94,117,NA,4,0,HFW,,,10.1016/j.jpubeco.2019.06.002,,https://www.scopus.com/inward/record.url?eid=2-s2.0-85068862619&partnerID=40&md5=f63dc5495b196200a0065b393fd0511b,,Article,Final,,Scopus,2-s2.0-85068862619,,,
598,"Verbruggen, A., Laes, E., Woerdman, E.",7102211457; 6602591724; 6602286175,Anatomy of Emissions Trading Systems: What is the EU ETS?,2019,Environmental Science and Policy,98,,,11,19,NA,5,0,HFW,,,10.1016/j.envsci.2019.05.001,,https://www.scopus.com/inward/record.url?eid=2-s2.0-85065250421&partnerID=40&md5=7fd71ca2c06aaa71549f9166178ccefc,,Article,Final,Open Access,Scopus,2-s2.0-85065250421,,,
599,"Tsigaris, P., Wood, J.",8908782500; 55325341800,The potential impacts of climate change on capital in the 21st century,2019,Ecological Economics,162,,,74,86,NA,NA,0,HFW,,,10.1016/j.ecolecon.2019.04.009,,https://www.scopus.com/inward/record.url?eid=2-s2.0-85065065435&partnerID=40&md5=29e32a4eb5d4cb3c0072f3d15fe1e4b6,,Article,Final,,Scopus,2-s2.0-85065065435,,,
600,"Di Filippo, J., Karpman, J., DeShazo, J.R.",57203526628; 57190868786; 6602870758,The impacts of policies to reduce CO <inf>2</inf> emissions within the concrete supply chain,2019,Cement and Concrete Composites,101,,,67,82,NA,11,0,HFW,,,10.1016/j.cemconcomp.2018.08.003,,https://www.scopus.com/inward/record.url?eid=2-s2.0-85052145119&partnerID=40&md5=2eaa0f78b39375e1bc7c8ca25bbe7a62,,Article,Final,,Scopus,2-s2.0-85052145119,,,
601,"Pérez-Prada, F., Alves, B.B., Sethi, K., Barrés, D.P., Qiu, Y.",57192922758; 57190017474; 57208397532; 57208392048; 57208403350,Clean Bus Technologies and the Cost-Effectiveness of Emissions Reductions in Latin America,2019,Transportation Research Record,2673,8,,136,144,NA,NA,0,HFW,,,10.1177/0361198119828684,,https://www.scopus.com/inward/record.url?eid=2-s2.0-85064696490&partnerID=40&md5=80f1128f7c81924555fc92fc013773c8,,Article,Final,,Scopus,2-s2.0-85064696490,,,
602,"Yu, C., Wang, C., Zhang, S.",57203929748; 23089315300; 57207817224,Advertising cooperation of dual-channel low-carbon supply chain based on cost-sharing,2019,Kybernetes,49,4,,1169,1195,NA,NA,0,HFW,,,10.1108/K-04-2018-0205,,https://www.scopus.com/inward/record.url?eid=2-s2.0-85071569386&partnerID=40&md5=b1281ef90667bf28040aad928b84b81f,,Article,Final,,Scopus,2-s2.0-85071569386,,,
603,"Aquila, G., de Oliveira Pamplona, E., Ferreira Filho, J.A., da Silva, A.S., de Azevedo Mataveli, J.V., Correa, J.E., de Maria, M.S., Garcia, G.C.",57191480217; 55873630900; 56904124200; 57209451459; 57209449388; 56903721700; 57209452925; 57209459578,Quantitative regulatory impact analysis: Experience of regulatory agencies in Brazil,2019,Utilities Policy,59,,100931,,,NA,1,0,HFW,,,10.1016/j.jup.2019.100931,,https://www.scopus.com/inward/record.url?eid=2-s2.0-85067816863&partnerID=40&md5=3c5c8960c81f523aa87c896b9983ebab,,Article,Final,,Scopus,2-s2.0-85067816863,,,
604,"Caplan, A.J., Acharya, R.",7202632063; 57209512400,Optimal vehicle use in the presence of episodic mobile-source air pollution,2019,Resource and Energy Economics,57,,,185,204,NA,NA,0,HFW,,,10.1016/j.reseneeco.2019.06.001,,https://www.scopus.com/inward/record.url?eid=2-s2.0-85067920142&partnerID=40&md5=dc329636d11136257583fb51b8550833,,Article,Final,,Scopus,2-s2.0-85067920142,,,
605,"Honkaniemi, J., Ahtikoski, A., Piri, T.",56229847800; 8130640600; 6603430023,"Financial incentives to perform stump treatment against Heterobasidion root rot in Norway spruce dominated forests, the case of Finland",2019,Forest Policy and Economics,105,,,1,9,NA,NA,0,HFW,,,10.1016/j.forpol.2019.05.015,,https://www.scopus.com/inward/record.url?eid=2-s2.0-85065424836&partnerID=40&md5=84fe1b3209f4f449b2ab4ad2d63dc709,,Article,Final,,Scopus,2-s2.0-85065424836,,,
606,"Zawadzka, J., Gallagher, E., Smith, H., Corstanje, R.",55595787600; 56411681100; 55474550700; 21734013100,Ecosystem services from combined natural and engineered water and wastewater treatment systems: Going beyond water quality enhancement,2019,Ecological Engineering: X,2,,100006,,,NA,NA,0,HFW,,,10.1016/j.ecoena.2019.100006,,https://www.scopus.com/inward/record.url?eid=2-s2.0-85070485020&partnerID=40&md5=8176c587a4c4e7bec992a9eb9d413fdd,,Article,Final,Open Access,Scopus,2-s2.0-85070485020,,,
607,"Ciscar, J.-C., Rising, J., Kopp, R.E., Feyen, L.",55666469500; 57147369400; 7102794612; 6603758886,Assessing future climate change impacts in the EU and the USA: Insights and lessons from two continental-scale projects,2019,Environmental Research Letters,14,8,84010,,,NA,4,0,HFW,,,10.1088/1748-9326/ab281e,,https://www.scopus.com/inward/record.url?eid=2-s2.0-85072691183&partnerID=40&md5=454e89440e6d5052bc1d827321f16c4b,,Article,Final,Open Access,Scopus,2-s2.0-85072691183,,,
609,"Awan, U., Sroufe, R., Kraslawski, A.",55849496400; 6603056944; 7003512199,Creativity enables sustainable development: Supplier engagement as a boundary condition for the positive effect on green innovation,2019,Journal of Cleaner Production,226,,,172,185,NA,22,0,HFW,,,10.1016/j.jclepro.2019.03.308,,https://www.scopus.com/inward/record.url?eid=2-s2.0-85064459582&partnerID=40&md5=355ce18763391247eb09277a1bf29d94,,Article,Final,,Scopus,2-s2.0-85064459582,,,
610,"Helwegen, K.G., Wieners, C.E., Frank, J.E., Dijkstra, H.A.",57210285576; 57189499152; 56277581800; 7006710430,Complementing CO<inf>2</inf> emission reduction by solar radiation management might strongly enhance future welfare,2019,Earth System Dynamics,10,3,,453,472,NA,2,0,HFW,,,10.5194/esd-10-453-2019,,https://www.scopus.com/inward/record.url?eid=2-s2.0-85070206592&partnerID=40&md5=55d707a74b8d839f97383b8fe943d9b6,,Article,Final,Open Access,Scopus,2-s2.0-85070206592,,,
611,"Sohn, W.-S.",57208346204,Discount rate and the social cost of carbon dioxide: a Korean forecast,2019,Applied Economics,51,32,,3436,3450,NA,NA,NA,HFW,0,HFW,10.1080/00036846.2019.1581907,,https://www.scopus.com/inward/record.url?eid=2-s2.0-85064570126&partnerID=40&md5=fbcb434ad0145ac7c5783225fd3355b3,,Article,Final,,Scopus,2-s2.0-85064570126,,,
612,"Nsanzineza, R., Capps, S.L., Milford, J.B.",57195203794; 24167564500; 7005572902,Modeling Emissions and Ozone Air Quality Impacts of Future Scenarios for Energy and Power Production in the Rocky Mountain States,2019,Environmental Science and Technology,53,13,,7893,7902,NA,1,0,HFW,,,10.1021/acs.est.9b00356,,https://www.scopus.com/inward/record.url?eid=2-s2.0-85068350780&partnerID=40&md5=5d875a27ebf304fa957d7c5f67c82480,,Article,Final,,Scopus,2-s2.0-85068350780,,,
613,"Borck, R.",55965081700,Public transport and urban pollution,2019,Regional Science and Urban Economics,77,,,356,366,NA,9,0,HFW,,,10.1016/j.regsciurbeco.2019.06.005,,https://www.scopus.com/inward/record.url?eid=2-s2.0-85068405475&partnerID=40&md5=9d77d851bb04f2394ea76664f98ae786,,Article,Final,,Scopus,2-s2.0-85068405475,,,
614,"Barrage, L.",35221161500,The Nobel Memorial Prize for William D. Nordhaus,2019,Scandinavian Journal of Economics,121,3,,884,924,NA,1,0,HFW,,,10.1111/sjoe.12383,,https://www.scopus.com/inward/record.url?eid=2-s2.0-85067410780&partnerID=40&md5=3b390e042a136f5d7bd79c87a965f602,,Article,Final,Open Access,Scopus,2-s2.0-85067410780,,,
616,"Witt, S.M., Stults, S., Rieves, E., Emerson, K., Mendoza, D.L.",57211429539; 57211429472; 57211430937; 57211428106; 23110910100,Findings from a pilot light-emitting diode (LED) bulb exchange program at a neighborhood scale,2019,Sustainability (Switzerland),11,14,3965,,,NA,1,0,HFW,,,10.3390/su11143965,,https://www.scopus.com/inward/record.url?eid=2-s2.0-85073913116&partnerID=40&md5=c9ff45d3a4c7e24bdcee50dbb9a811e8,,Article,Final,Open Access,Scopus,2-s2.0-85073913116,,,
617,"Linn, J., Shih, J.-S.",23097640000; 7201813174,Do lower electricity storage costs reduce greenhouse gas emissions?,2019,Journal of Environmental Economics and Management,96,,,130,158,NA,2,0,HFW,,,10.1016/j.jeem.2019.05.003,,https://www.scopus.com/inward/record.url?eid=2-s2.0-85067300810&partnerID=40&md5=ba8a0fa373fbe9b760b9060d6b722e9b,,Article,Final,,Scopus,2-s2.0-85067300810,,,
619,"Guariso, G., Sangiorgio, M.",7004947264; 57201116039,Multi-objective planning of building stock renovation,2019,Energy Policy,130,,,101,110,NA,NA,0,HFW,,,10.1016/j.enpol.2019.03.053,,https://www.scopus.com/inward/record.url?eid=2-s2.0-85063759063&partnerID=40&md5=f86a89448325d20742b415fb956f885a,,Article,Final,,Scopus,2-s2.0-85063759063,,,
621,"Defilippi, E.",6506527159,The environmental cost of Peru's domestic air transport: An appraisal,2019,Journal of Air Transport Management,78,,,144,151,NA,NA,0,HFW,,,10.1016/j.jairtraman.2019.01.008,,https://www.scopus.com/inward/record.url?eid=2-s2.0-85059695582&partnerID=40&md5=28f5d84839125fe9457c68ea009533c4,,Article,Final,Open Access,Scopus,2-s2.0-85059695582,,,
622,"Svetlov, N.M., Siptits, S.O., Romanenko, I.A., Evdokimova, N.E.",36245417600; 6504292511; 15843950700; 57208817596,The Effect of Climate Change on the Location of Branches of Agriculture in Russia,2019,Studies on Russian Economic Development,30,4,,406,418,NA,2,0,HFW,,,10.1134/S1075700719040154,,https://www.scopus.com/inward/record.url?eid=2-s2.0-85069901671&partnerID=40&md5=86b683897719920662855e4707bd2d70,,Article,Final,,Scopus,2-s2.0-85069901671,,,
623,"Lin, B., Ge, J.",35098935000; 57204783999,Valued forest carbon sinks: How much emissions abatement costs could be reduced in China,2019,Journal of Cleaner Production,224,,,455,464,NA,6,0,HFW,,,10.1016/j.jclepro.2019.03.221,,https://www.scopus.com/inward/record.url?eid=2-s2.0-85064002566&partnerID=40&md5=7813787f0f0779a472ad38a6a8ac4b75,,Article,Final,,Scopus,2-s2.0-85064002566,,,
624,"Linn, J.",23097640000,Interactions between climate and local air pollution policies: The case of european passenger cars,2019,Journal of the Association of Environmental and Resource Economists,6,4,,709,740,NA,NA,0,HFW,,,10.1086/703887,,https://www.scopus.com/inward/record.url?eid=2-s2.0-85076864681&partnerID=40&md5=85c83836f79297516a09387490aa634d,,Article,Final,,Scopus,2-s2.0-85076864681,,,
625,"Islam, A., Lownes, N.",57208926927; 16022653500,When to go electric? A parallel bus fleet replacement study,2019,Transportation Research Part D: Transport and Environment,72,,,299,311,NA,6,0,HFW,,,10.1016/j.trd.2019.05.007,,https://www.scopus.com/inward/record.url?eid=2-s2.0-85066127684&partnerID=40&md5=6e0f73c26ee223785a0d2121f5a3dd26,,Article,Final,,Scopus,2-s2.0-85066127684,,,
626,"Haraguchi, M., Siddiqi, A., Narayanamurti, V.",56463650100; 15078682300; 57204205649,Stochastic cost-benefit analysis of urban waste-to-energy systems,2019,Journal of Cleaner Production,224,,,751,765,NA,6,0,HFW,,,10.1016/j.jclepro.2019.03.099,,https://www.scopus.com/inward/record.url?eid=2-s2.0-85063595039&partnerID=40&md5=af03bc74e0e9844ab0d7e780c250ceb6,,Article,Final,,Scopus,2-s2.0-85063595039,,,
627,"Çelik, T., Arayici, Y., Budayan, C.",57212905170; 8328617900; 26326103600,Assessing the social cost of housing projects on the built environment: Analysis and monetization of the adverse impacts incurred on the neighbouring communities,2019,Environmental Impact Assessment Review,77,,,1,10,NA,1,0,HFW,,,10.1016/j.eiar.2019.03.001,,https://www.scopus.com/inward/record.url?eid=2-s2.0-85062398328&partnerID=40&md5=37db329fb4266f7375b27e679ca4f39b,,Article,Final,,Scopus,2-s2.0-85062398328,,,
630,"Luo, X., Liu, J., Liu, Y., Liu, X.",57203684211; 57205144052; 55907039000; 56413094600,"Bi-level optimization of design, operation, and subsidies for standalone solar/diesel multi-generation energy systems",2019,Sustainable Cities and Society,48,,101592,,,NA,4,NA,HFW,0,NST,10.1016/j.scs.2019.101592,,https://www.scopus.com/inward/record.url?eid=2-s2.0-85065413884&partnerID=40&md5=4a8635af1874b51c8a06e8fb01ea83ac,,Article,Final,,Scopus,2-s2.0-85065413884,,,
631,"Hu, X., Zhao, C., Hu, X., Guan, Q., Wang, Y., Li, W.",56442928000; 57191070563; 55489975200; 36011638700; 57210238342; 56206168500,Nitrogen-Doped Carbon Cages Encapsulating CuZn Alloy for Enhanced CO<inf>2</inf> Reduction,2019,ACS Applied Materials and Interfaces,11,28,,25100,25107,NA,4,0,HFW,,,10.1021/acsami.9b03488,,https://www.scopus.com/inward/record.url?eid=2-s2.0-85070023845&partnerID=40&md5=bd50b1fb4d290ad5e52986142cbb448b,,Article,Final,,Scopus,2-s2.0-85070023845,,,
632,"Mahmoudi, R., Emrouznejad, A., Khosroshahi, H., Khashei, M., Rajabi, P.",57200704556; 6603504583; 57189582169; 23492422800; 57208018177,"Performance evaluation of thermal power plants considering CO2 emission: A multistage PCA, clustering, game theory and data envelopment analysis",2019,Journal of Cleaner Production,223,,,641,650,NA,13,0,HFW,,,10.1016/j.jclepro.2019.03.047,,https://www.scopus.com/inward/record.url?eid=2-s2.0-85063570090&partnerID=40&md5=0b7a598fbc220684ae32f72a4e19c47c,,Article,Final,,Scopus,2-s2.0-85063570090,,,
633,"Nordhaus, W.",7004576935,Economics of the disintegration of the Greenland ice sheet,2019,Proceedings of the National Academy of Sciences of the United States of America,116,25,,12261,12269,NA,2,NA,HFW,1,NST,10.1073/pnas.1814990116,,https://www.scopus.com/inward/record.url?eid=2-s2.0-85067600704&partnerID=40&md5=bf11ed40e4358f3fb4bcb0e2e94fe650,,Article,Final,Open Access,Scopus,2-s2.0-85067600704,,,
635,"Soltani, A., Rannestad, M.M., Hofstad, O.",55216315800; 57208166919; 6603231369,Conditional payments for carbon sequestration as a local trading game — A case study from a Tanzanian village,2019,Journal of Environmental Management,240,,,331,342,NA,NA,0,HFW,,,10.1016/j.jenvman.2019.03.127,,https://www.scopus.com/inward/record.url?eid=2-s2.0-85063983570&partnerID=40&md5=210147b8cd07118ca328f3bccd684f44,,Article,Final,,Scopus,2-s2.0-85063983570,,,
636,"Dahlke, S.",57203221686,Short run effects of carbon policy on U.S. electricity markets,2019,Energies,12,11,2150,,,NA,NA,0,HFW,,,10.3390/en12112150,,https://www.scopus.com/inward/record.url?eid=2-s2.0-85066940468&partnerID=40&md5=fbf09e5d672468e8dacf2c2f4e3b4294,,Article,Final,Open Access,Scopus,2-s2.0-85066940468,,,
637,"Mao, B.-H., Zeng, W., Li, J.-J.",7102865620; 57207923075; 57202024264,A Profit Allocation Model Based on Service Efficiency of Multimodal Transport | ?????????????????????,2019,Jiaotong Yunshu Xitong Gongcheng Yu Xinxi/Journal of Transportation Systems Engineering and Information Technology,19,3,,34,40,NA,1,0,HFW,,,10.16097/j.cnki.1009-6744.2019.03.006,,https://www.scopus.com/inward/record.url?eid=2-s2.0-85070759850&partnerID=40&md5=3ab286ae8c06fd9913ee2bb24b101ea0,,Article,Final,,Scopus,2-s2.0-85070759850,,,
638,"Meng, K.C., Rode, A.",53865323700; 56580551500,The social cost of lobbying over climate policy,2019,Nature Climate Change,9,6,,472,476,NA,6,0,HFW,,,10.1038/s41558-019-0489-6,,https://www.scopus.com/inward/record.url?eid=2-s2.0-85066790616&partnerID=40&md5=68826e801503ed85e7907984d62d7fab,,Article,Final,,Scopus,2-s2.0-85066790616,,,
640,"Hagmann, D., Ho, E.H., Loewenstein, G.",55832207800; 57210334209; 7004312288,Nudging out support for a carbon tax,2019,Nature Climate Change,9,6,,484,489,NA,16,0,HFW,,,10.1038/s41558-019-0474-0,,https://www.scopus.com/inward/record.url?eid=2-s2.0-85065788632&partnerID=40&md5=84f4cc34862792eb4a5d6b375e065daf,,Article,Final,,Scopus,2-s2.0-85065788632,,,
641,"Kemp-Benedict, E., Lamontagne, J., Laing, T., Drakes, C.",6503996331; 43261406800; 35299849200; 57207967144,Climate impacts on capital accumulation in the small island state of Barbados,2019,Sustainability (Switzerland),11,11,3192,,,NA,3,0,HFW,,,10.3390/su11113192,,https://www.scopus.com/inward/record.url?eid=2-s2.0-85067300490&partnerID=40&md5=79a3d3e9168855f9485be6665b0939b1,,Article,Final,Open Access,Scopus,2-s2.0-85067300490,,,
642,"Da, B., Liu, C., Liu, N., Xia, Y., Xie, F.",57196098202; 24178233800; 57193347135; 57193351080; 57196094974,Coal-electric power supply chain reduction and operation strategy under the cap-and-trade model and green financial background,2019,Sustainability (Switzerland),11,11,3021,,,NA,2,0,HFW,,,10.3390/su11113021,,https://www.scopus.com/inward/record.url?eid=2-s2.0-85067259944&partnerID=40&md5=9175c4da186eb21bb4e20f92cfc1f26e,,Article,Final,Open Access,Scopus,2-s2.0-85067259944,,,
643,"Dalevska, N., Khobta, V., Kwilinski, A., Kravchenko, S.",56157281800; 57210116822; 57204068618; 57208315814,A model for estimating social and economic indicators of sustainable development,2019,Entrepreneurship and Sustainability Issues,6,4,,1839,1860,NA,31,0,HFW,,,10.9770/jesi.2019.6.4(21),,https://www.scopus.com/inward/record.url?eid=2-s2.0-85066954836&partnerID=40&md5=f485576d7ec896f0d985f3d6f8c27db1,,Article,Final,Open Access,Scopus,2-s2.0-85066954836,,,
644,"Rodgers, M., Coit, D., Felder, F., Carlton, A.",56361862200; 7006816402; 6602476281; 7004091561,Assessing the effects of power grid expansion on human health externalities,2019,Socio-Economic Planning Sciences,66,,,92,104,NA,4,NA,HFW,0,NST,10.1016/j.seps.2018.07.011,,https://www.scopus.com/inward/record.url?eid=2-s2.0-85050610105&partnerID=40&md5=f81a881b30c2a542d9223222f2528e21,,Article,Final,,Scopus,2-s2.0-85050610105,,,
645,"Schor, J.B., Jorgenson, A.K.",8964575000; 57207534205,Is it Too Late for Growth?,2019,Review of Radical Political Economics,51,2,,320,329,NA,6,0,HFW,,,10.1177/0486613419831109,,https://www.scopus.com/inward/record.url?eid=2-s2.0-85077215588&partnerID=40&md5=a6e93b31346d9dc641067bb069120884,,Article,Final,,Scopus,2-s2.0-85077215588,,,
647,"Glemarec, Y.",37060829700,Aligning National Interests and Global Climate Justice: The Role of Human Rights in Enhancing the Ambition of Nationally Determined Contributions to Combat Climate Change,2019,Fudan Journal of the Humanities and Social Sciences,12,2,,309,327,NA,2,0,HFW,,,10.1007/s40647-018-0249-4,,https://www.scopus.com/inward/record.url?eid=2-s2.0-85071251364&partnerID=40&md5=079f29c3b8ec2cc3e32e6ed2f2275c95,,Article,Final,,Scopus,2-s2.0-85071251364,,,
648,"Karanfil, F., Omgba, L.D.",17135093100; 26026080500,Do the IMF's structural adjustment programs help reduce energy consumption and carbon intensity? Evidence from developing countries,2019,Structural Change and Economic Dynamics,49,,,312,323,NA,3,0,HFW,,,10.1016/j.strueco.2018.11.008,,https://www.scopus.com/inward/record.url?eid=2-s2.0-85057497438&partnerID=40&md5=8e2f23f29f614c2a7fd0d34ee3d53510,,Article,Final,,Scopus,2-s2.0-85057497438,,,
649,"Tanner, M.K., Moity, N., Costa, M.T., Marin Jarrin, J.R., Aburto-Oropeza, O., Salinas-de-León, P.",57206209175; 55391392900; 57188965085; 25825355400; 6506774995; 37050271300,Mangroves in the Galapagos: Ecosystem services and their valuation,2019,Ecological Economics,160,,,12,24,NA,4,0,HFW,,,10.1016/j.ecolecon.2019.01.024,,https://www.scopus.com/inward/record.url?eid=2-s2.0-85061576048&partnerID=40&md5=72f2e933ac959977bda40cca6ad6cc81,,Article,Final,,Scopus,2-s2.0-85061576048,,,
651,"Sonnenschein, J., Mundaca, L.",56926450800; 8633490700,Is one carbon price enough? Assessing the effects of payment vehicle choice on willingness to pay in Sweden,2019,Energy Research and Social Science,52,,,30,40,NA,3,0,HFW,,,10.1016/j.erss.2019.01.022,,https://www.scopus.com/inward/record.url?eid=2-s2.0-85061439941&partnerID=40&md5=5d1be5111266ee003b92a209d8c3e8e5,,Article,Final,Open Access,Scopus,2-s2.0-85061439941,,,
652,"Gawel, E., Lehmann, P.",6505918661; 35213383600,Should renewable energy policy be ‘renewable’?,2019,Oxford Review of Economic Policy,35,2,,218,243,NA,3,0,HFW,,,10.1093/oxrep/grz002,,https://www.scopus.com/inward/record.url?eid=2-s2.0-85067653765&partnerID=40&md5=fe18ed37d5fc1a9316dad25da21b81d5,,Article,Final,,Scopus,2-s2.0-85067653765,,,
653,"Marcos-Martinez, R., Bryan, B.A., Schwabe, K.A., Connor, J.D., Law, E.A., Nolan, M., Sánchez, J.J.",36188588300; 7005323700; 7006631474; 24170934600; 36675163900; 55809874300; 55904960200,Projected social costs of CO <inf>2</inf> emissions from forest losses far exceed the sequestration benefits of forest gains under global change,2019,Ecosystem Services,37,,100935,,,NA,4,0,HFW,,,10.1016/j.ecoser.2019.100935,,https://www.scopus.com/inward/record.url?eid=2-s2.0-85065539757&partnerID=40&md5=478d1e38d6f69c7dd6e5b51242c57b34,,Article,Final,,Scopus,2-s2.0-85065539757,,,
654,"Mishra, S.K., Negri, M.C., Kozak, J., Cacho, J.F., Quinn, J., Secchi, S., Ssegane, H.",57202505243; 7006358413; 57208039327; 55207466600; 8631612900; 6602177564; 22951700300,Valuation of ecosystem services in alternative bioenergy landscape scenarios,2019,GCB Bioenergy,11,6,,748,762,NA,3,0,HFW,,,10.1111/gcbb.12602,,https://www.scopus.com/inward/record.url?eid=2-s2.0-85062782379&partnerID=40&md5=573e1f1fd81c0271d25118e1b2f259a0,,Article,Final,Open Access,Scopus,2-s2.0-85062782379,,,
655,"Castillo-Eguskitza, N., Schmitz, M.F., Onaindia, M., Rescia, A.J.",57193652940; 7201996116; 6602705491; 6603312952,"Linking biophysical and economic assessments of ecosystem services for a social-ecological approach to conservation planning: Application in a biosphere reserve (Biscay, Spain)",2019,Sustainability (Switzerland),11,11,3092,,,NA,2,0,HFW,,,10.3390/su11113092,,https://www.scopus.com/inward/record.url?eid=2-s2.0-85067278213&partnerID=40&md5=15d153e17e677c200473631e041923f2,,Article,Final,Open Access,Scopus,2-s2.0-85067278213,,,
656,"Duan, H., Zhang, G., Wang, S., Fan, Y.",55588602700; 55959630900; 35195168500; 7403491920,Integrated benefit-cost analysis of China's optimal adaptation and targeted mitigation,2019,Ecological Economics,160,,,76,86,NA,27,0,HFW,,,10.1016/j.ecolecon.2019.02.008,,https://www.scopus.com/inward/record.url?eid=2-s2.0-85061969457&partnerID=40&md5=cc897a89e039c1656a1c863ba36e68e9,,Article,Final,,Scopus,2-s2.0-85061969457,,,
657,"Coulomb, R., Lecuyer, O., Vogt-Schilb, A.",56174102700; 55368922000; 36132406800,Optimal Transition from Coal to Gas and Renewable Power Under Capacity Constraints and Adjustment Costs,2019,Environmental and Resource Economics,73,2,,557,590,NA,4,0,HFW,,,10.1007/s10640-018-0274-4,,https://www.scopus.com/inward/record.url?eid=2-s2.0-85050230751&partnerID=40&md5=206abce342aaaddbb9f7b5959c64d4ef,,Article,Final,,Scopus,2-s2.0-85050230751,,,
658,"Sproul, E., Barlow, J., Quinn, J.C.",36161272500; 57191033211; 36562288100,Time Value of Greenhouse Gas Emissions in Life Cycle Assessment and Techno-Economic Analysis,2019,Environmental Science and Technology,53,10,,6073,6080,NA,3,NA,HFW,1,NST,10.1021/acs.est.9b00514,,https://www.scopus.com/inward/record.url?eid=2-s2.0-85065759073&partnerID=40&md5=252b3535bc153ebce362d532d3c37a88,,Article,Final,Open Access,Scopus,2-s2.0-85065759073,,,
659,"Li, N., Chen, W., Rafaj, P., Kiesewetter, G., Schöpp, W., Wang, H., Zhang, H., Krey, V., Riahi, K.",57197435985; 55808020800; 15051087300; 36100469800; 55881705100; 57200536458; 56959604600; 24332203900; 6602435618,Air Quality Improvement Co-benefits of Low-Carbon Pathways toward Well below the 2 °c Climate Target in China,2019,Environmental Science and Technology,53,10,,5576,5584,NA,8,0,HFW,,,10.1021/acs.est.8b06948,,https://www.scopus.com/inward/record.url?eid=2-s2.0-85066154733&partnerID=40&md5=fe6dbca9c07f27d7f6bfbf3a021d3d33,,Article,Final,,Scopus,2-s2.0-85066154733,,,
660,"Letta, M., Tol, R.S.J.",57202601403; 55765581600,"Weather, Climate and Total Factor Productivity",2019,Environmental and Resource Economics,73,1,,283,305,NA,11,0,AZ,,,10.1007/s10640-018-0262-8,,https://www.scopus.com/inward/record.url?eid=2-s2.0-85048893386&partnerID=40&md5=4d48f5c9a3634c509779b4d4ebd54384,,Article,Final,,Scopus,2-s2.0-85048893386,,,
